multiplier,x,y
80,0.6015625,0.0015716618570118
80,0.6171875,0.0015769658151762
80,0.6328125,0.001809067293012
80,0.6484375,0.0021717314485549
80,0.6640625,0.0017931870941885
80,0.6796875,0.0022825501936785
80,0.6953125,0.0018632925000679
80,0.7109375,0.0020470883190728
80,0.7265625,0.0015611260652561
80,0.7421875,0.003052774941064
80,0.7578125,0.0022497427476879
80,0.7734375,0.002504450686725
80,0.7890625,0.0022712763448684
80,0.8046875,0.0028114551819441
80,0.8203125,0.0039473500467175
80,0.8359375,0.002037264386401
80,0.8515625,0.0022159427174183
80,0.8671875,0.003077570858515
80,0.8828125,0.0032994134618744
80,0.8984375,0.0026502155285044
80,0.9140625,0.0021132460305291
80,0.9296875,0.0038601872479008
80,0.9453125,0.0034059211719883
80,0.9609375,0.0039872387006614
80,0.9765625,0.0043098875061131
80,0.9921875,0.0022862710656198
160,0.0078125,0.0121500057025547
160,0.0234375,0.0058998685336151
160,0.0390625,0.0020081583904626
160,0.0546875,0.001009779834569
160,0.0703125,0.0005128687310219
160,0.0859375,0.0007205696509455
160,0.1015625,0.000776955341239
160,0.1171875,0.0008227774477713
160,0.1328125,0.0008552955729229
160,0.1484375,0.0008867438439572
160,0.1640625,0.000918531310751
160,0.1796875,0.0009294684862937
160,0.1953125,0.0009613526861996
160,0.2109375,0.0009626776015638
160,0.2265625,0.000983190072358
160,0.2421875,0.0009994716511934
160,0.2578125,0.0010155079749159
160,0.2734375,0.0010443477518962
160,0.2890625,0.001055763207384
160,0.3046875,0.0011315884464289
160,0.3203125,0.001112325551506
160,0.3359375,0.0011823624481325
160,0.3515625,0.0010853886162343
160,0.3671875,0.0011806949216575
160,0.3828125,0.001195817416513
160,0.3984375,0.0013029839333262
160,0.4140625,0.0012494653292717
160,0.4296875,0.0011675971746603
160,0.4453125,0.0012947007380966
160,0.4609375,0.0012203427726333
160,0.4765625,0.0013990327829714
160,0.4921875,0.0012537668390026
160,0.5078125,0.0012295915777779
160,0.5234375,0.0015236162607203
160,0.5390625,0.001387842656846
160,0.5546875,0.0016768227367315
160,0.5703125,0.0016374545364122
160,0.5859375,0.0015658649757779
160,0.6015625,0.0016480910016671
160,0.6171875,0.0014857237479501
160,0.6328125,0.0018172898037949
160,0.6484375,0.0017215883108896
160,0.6640625,0.0019786702128752
160,0.6796875,0.0017011088709677
160,0.6953125,0.0020501232418879
160,0.7109375,0.002508578345447
160,0.7265625,0.0018340530740322
160,0.7421875,0.0020946415328488
160,0.7578125,0.0023081147246656
160,0.7734375,0.0026765526393158
160,0.7890625,0.0023193655159619
160,0.8046875,0.0034226862628415
160,0.8203125,0.0030833202506416
160,0.8359375,0.0026908170819315
160,0.8515625,0.003368406904125
160,0.8671875,0.0038353525964204
160,0.8828125,0.0024047204647984
160,0.8984375,0.002984225021815
160,0.9140625,0.0036575163560006
160,0.9296875,0.0028195231988406
160,0.9453125,0.0025987869280187
160,0.9609375,0.0033171588830054
160,0.9765625,0.003017681860641
160,0.9921875,0.0039277535443459
320,0.0078125,0.0121414773282716
320,0.0234375,0.0058581481626884
320,0.0390625,0.0019939960528439
320,0.0546875,0.0010129719833915
320,0.0703125,0.0005121901597911
320,0.0859375,0.0007113941548183
320,0.1015625,0.000766481691377
320,0.1171875,0.0007990875301169
320,0.1328125,0.0008256592874346
320,0.1484375,0.0008636302822161
320,0.1640625,0.0008744477361915
