tau,x,y
6.7749999999999995,0.8988445647770797,2.6069579678452417
6.7749999999999995,0.9162978572970231,2.8647889756541303
6.7749999999999995,0.9337511498169663,3.7242256683503454
6.7749999999999995,0.9512044423369096,4.669606030316203
6.7749999999999995,0.9686577348568529,5.013380707394696
6.7749999999999995,0.9861110273767962,6.445775195221752
6.7749999999999995,1.0035643198967397,5.328507494716648
6.7749999999999995,1.0210176124166828,4.984732817638156
6.7749999999999995,1.038470904936626,3.638281999080769
6.7749999999999995,1.0559241974565694,3.810169337619969
6.7749999999999995,1.0733774899765125,2.4637185190625366
6.7749999999999995,1.090830782496456,2.1485917317405843
6.7749999999999995,1.1082840750163991,1.7761691649055495
6.7749999999999995,1.1257373675363427,1.2891550390443505
6.7749999999999995,1.1431906600562858,0.8880845824527748
6.7749999999999995,1.1606439525762293,0.4010704565915757
6.7749999999999995,1.1780972450961724,0.4010704565915757
6.7749999999999995,1.1955505376161157,0.028647889756541485
6.7749999999999995,1.213003830136059,0.05729577951308224
6.7749999999999995,1.2304571226560022,0.02864788975654112
6.7749999999999995,1.2479104151759457,0.0
6.7749999999999995,1.2653637076958888,0.0
6.7749999999999995,1.2828170002158323,0.0
6.7749999999999995,1.3002702927357754,0.0
6.7749999999999995,1.317723585255719,0.02864788975654112
6.7749999999999995,1.335176877775662,0.0
6.7749999999999995,1.3526301702956054,0.0
6.7749999999999995,1.3700834628155487,0.0
6.7749999999999995,1.3875367553354918,0.0
6.7749999999999995,1.4049900478554354,0.0
6.7749999999999995,1.4224433403753785,0.0
6.7749999999999995,1.439896632895322,0.0
6.7749999999999995,1.457349925415265,0.0
6.7749999999999995,1.4748032179352086,0.0
6.7749999999999995,1.4922565104551517,0.0
6.7749999999999995,1.509709802975095,0.0
6.7749999999999995,1.5271630954950384,0.0
6.7749999999999995,1.5446163880149815,0.0
6.7749999999999995,1.562069680534925,0.0
6.7749999999999995,1.579522973054868,0.0
6.7749999999999995,1.5969762655748116,0.0
6.7749999999999995,1.6144295580947547,0.0
6.7749999999999995,1.6318828506146983,0.0
6.7749999999999995,1.6493361431346414,0.0
6.7749999999999995,1.666789435654585,0.0
6.7749999999999995,1.684242728174528,0.0
6.7749999999999995,1.7016960206944711,0.0
6.7749999999999995,1.7191493132144147,0.0
6.7749999999999995,1.7366026057343578,0.0
