corner,kind,x,y
LR LS,raw,0.287109375,-0.0020963808405655
LR LS,raw,0.291015625,-0.001233030378392
LR LS,raw,0.294921875,-0.0009446532514433
LR LS,raw,0.298828125,-0.00219143407195
LR LS,raw,0.302734375,-0.0019210136981239
LR LS,raw,0.306640625,-0.0008752374950354
LR LS,raw,0.310546875,-0.0011724442926401
LR LS,raw,0.314453125,-0.0006602630709192
LR LS,raw,0.318359375,-0.0003684010476195
LR LS,raw,0.322265625,6.717777135239865e-05
LR LS,raw,0.326171875,-0.0004905657223559
LR LS,raw,0.330078125,-0.000141152527307
LR LS,raw,0.333984375,0.0003092056418909
LR LS,raw,0.337890625,0.0002541691685422
LR LS,raw,0.341796875,0.0005384443123543
LR LS,raw,0.345703125,0.0003334176322315
LR LS,raw,0.349609375,0.0012182654631932
LR LS,raw,0.353515625,0.0006488183648113
LR LS,raw,0.357421875,0.0001266322260274
LR LS,raw,0.361328125,0.0004290932763149
LR LS,raw,0.365234375,0.0029712985253784
LR LS,raw,0.369140625,0.0005680859760104
LR LS,raw,0.373046875,-6.825291533568408e-05
LR LS,raw,0.376953125,0.0013917594263055
LR LS,raw,0.380859375,0.0019553651543267
LR LS,raw,0.384765625,0.0010449415833836
LR LS,raw,0.388671875,0.0016655515436232
LR LS,raw,0.392578125,0.0027562135096441
LR LS,raw,0.396484375,0.0031457417579724
LR LS,raw,0.400390625,0.0023319499003303
LR LS,raw,0.404296875,0.0046300219780799
LR LS,raw,0.408203125,0.0047707609551396
LR LS,raw,0.412109375,0.0030143064902871
LR LS,raw,0.416015625,0.0023302843432418
LR LS,raw,0.419921875,0.0021721280854575
LR LS,raw,0.423828125,0.0017966386568597
LR LS,raw,0.427734375,0.0035620465552539
LR LS,raw,0.431640625,0.0053910851384278
LR LS,raw,0.435546875,0.0027552044349719
LR LS,raw,0.439453125,0.0037202073684115
LR LS,raw,0.443359375,0.0037873419956259
LR LS,raw,0.447265625,0.0058827222910007
LR LS,raw,0.451171875,0.0027748453258556
LR LS,raw,0.455078125,0.0051232773785785
LR LS,raw,0.458984375,0.0034358838432519
LR LS,raw,0.462890625,0.0058616006657337
LR LS,raw,0.466796875,0.0030751313246274
LR LS,raw,0.470703125,0.0063698811368023
LR LS,raw,0.474609375,0.0047057484515058
LR LS,raw,0.478515625,0.0040183406650404
LR LS,raw,0.482421875,0.0071040205854263
LR LS,raw,0.486328125,0.0078298665055895
LR LS,raw,0.490234375,0.0066986420348135
LR LS,raw,0.494140625,0.0062796940206053
LR LS,raw,0.498046875,0.0089210568217594
LR LS,raw,0.501953125,0.0068046814329065
LR LS,raw,0.505859375,0.0076980717305268
LR LS,raw,0.509765625,0.0049671084128626
LR LS,raw,0.513671875,0.0083753899670742
LR LS,raw,0.517578125,0.0121869830466308
LR LS,raw,0.521484375,0.0096627434950775
LR LS,raw,0.525390625,0.0057052958060192
LR LS,raw,0.529296875,0.0070466817404294
LR LS,raw,0.533203125,0.0080938623921149
LR LS,raw,0.537109375,0.0066545451369794
LR LS,raw,0.541015625,0.0081692397316526
LR LS,raw,0.544921875,0.0058621653708771
LR LS,raw,0.548828125,0.0083648150810274
LR LS,raw,0.552734375,0.0096721721918146
LR LS,raw,0.556640625,0.0086489741955549
LR LS,raw,0.560546875,0.0115879389288717
LR LS,raw,0.564453125,0.0084498671837161
LR LS,raw,0.568359375,0.0127695194098366
LR LS,raw,0.572265625,0.0099630315327913
LR LS,raw,0.576171875,0.0098848968758599
LR LS,raw,0.580078125,0.0118698346097964
LR LS,raw,0.583984375,0.0086871934762293
LR LS,raw,0.587890625,0.0102728828554515
LR LS,raw,0.591796875,0.0105214362277293
LR LS,raw,0.595703125,0.0124528278965072
LR LS,raw,0.599609375,0.0108354571148978
LR LS,raw,0.603515625,0.0106967151940865
LR LS,raw,0.607421875,0.0083477374191247
LR LS,raw,0.611328125,0.0103282748018464
LR LS,raw,0.615234375,0.0157615053392037
LR LS,raw,0.619140625,0.0105755513202276
LR LS,raw,0.623046875,0.0095886690366899
LR LS,raw,0.626953125,0.0156063195159938
LR LS,raw,0.630859375,0.0154286165714233
LR LS,raw,0.634765625,0.0149781122190355
LR LS,raw,0.638671875,0.0101614329595141
LR LS,raw,0.642578125,0.0106546384599994
LR LS,raw,0.646484375,0.0117306120040075
LR LS,raw,0.650390625,0.0119532135800409
LR LS,raw,0.654296875,0.0064918813094493
LR LS,raw,0.658203125,0.0108804126024291
LR LS,raw,0.662109375,0.0106662975554913
LR LS,raw,0.666015625,0.0105204438613585
LR LS,raw,0.669921875,0.013525518444248
LR LS,raw,0.673828125,0.0120957321186144
LR LS,raw,0.677734375,0.0138492513945555
LR LS,raw,0.681640625,0.0151482425371827
LR LS,raw,0.685546875,0.011144471868108
LR LS,raw,0.689453125,0.0123091114030327
LR LS,raw,0.693359375,0.0176356667202697
LR LS,raw,0.697265625,0.0147004422182739
LR LS,raw,0.701171875,0.0137491870360989
LR LS,raw,0.705078125,0.0159753698580658
LR LS,raw,0.708984375,0.0130739749758903
LR LS,raw,0.712890625,0.0104630444173723
LR LS,raw,0.716796875,0.0111724677067337
LR LS,raw,0.720703125,0.0130164158084942
LR LS,raw,0.724609375,0.0087488404058203
LR LS,raw,0.728515625,0.0127227104089823
LR LS,raw,0.732421875,0.0122122860961554
LR LS,raw,0.736328125,0.0109053317350841
LR LS,raw,0.740234375,0.0199483946724913
LR LS,raw,0.744140625,0.0123117070174624
LR LS,raw,0.748046875,0.0160625858761735
LR LS,raw,0.751953125,0.0094832292522517
LR LS,raw,0.755859375,0.0130802374646311
LR LS,raw,0.759765625,0.0133113797980362
LR LS,raw,0.763671875,0.0157412221460036
LR LS,raw,0.767578125,0.0142892615866072
LR LS,raw,0.771484375,0.0100711667976472
LR LS,raw,0.775390625,0.0209264834065082
LR LS,raw,0.779296875,0.0158548427033141
LR LS,raw,0.783203125,0.0147512181634896
LR LS,raw,0.787109375,0.0162054609505198
LR LS,raw,0.791015625,0.011466506127106
LR LS,raw,0.794921875,0.0137189215733387
LR LS,raw,0.798828125,0.0159426162204841
LR LS,raw,0.802734375,0.0133259461552552
LR LS,raw,0.806640625,0.0247270290011479
LR LS,raw,0.810546875,0.0097825347236769
LR LS,raw,0.814453125,0.0140373281614518
LR LS,raw,0.818359375,0.0163829664608905
LR LS,raw,0.822265625,0.0110350575017593
LR LS,raw,0.826171875,0.0127250556969635
LR LS,raw,0.830078125,0.0173624634043152
LR LS,raw,0.833984375,0.014256336517101
LR LS,raw,0.837890625,0.0209878709648154
LR LS,raw,0.841796875,0.0155510161948546
LR LS,raw,0.845703125,0.0085838367374174
LR LS,raw,0.849609375,0.0144576291329566
LR LS,raw,0.853515625,0.0165939277552387
LR LS,raw,0.857421875,0.0155610326147891
LR LS,raw,0.861328125,0.0140120462768496
