k,tau,E
11.735480972727762,8.928297950227746,1.4268529169466861
13.533039365494625,8.928297950227746,1.406741971678013
15.330597758261488,8.928297950227746,1.3901116698364526
17.12815615102835,8.928297950227746,1.3792773335920185
18.925714543795216,8.928297950227746,1.3662956081198032
20.723272936562076,8.928297950227746,1.356086781583697
22.520831329328942,8.928297950227746,1.3503892123800088
24.3183897220958,8.928297950227746,1.3404774661339622
26.115948114862668,8.928297950227746,1.3322577541236509
27.913506507629528,8.928297950227746,1.3252240247678213
29.711064900396394,8.928297950227746,1.318508150216357
31.508623293163257,8.928297950227746,1.312475765909688
33.30618168593012,8.928297950227746,1.3097252478541488
35.10374007869699,8.928297950227746,1.3025026369262316
36.901298471463846,8.928297950227746,1.2976613687565601
38.698856864230706,8.928297950227746,1.2923489770014822
40.49641525699757,8.928297950227746,1.2896505400051173
42.29397364976444,8.928297950227746,1.2827043768736586
44.0915320425313,8.928297950227746,1.277654466975973
0.950130616126582,9.4659122582851,1.86795490615349
2.7476890088934454,9.4659122582851,1.752501160546771
4.545247401660308,9.4659122582851,1.6036278322022892
6.342805794427172,9.4659122582851,1.5313681912744637
8.140364187194036,9.4659122582851,1.4811179495213729
9.9379225799609,9.4659122582851,1.4547212644204122
11.735480972727762,9.4659122582851,1.425898135425654
13.533039365494625,9.4659122582851,1.4079803187785696
15.330597758261488,9.4659122582851,1.3927741234431021
17.12815615102835,9.4659122582851,1.377583016160942
18.925714543795216,9.4659122582851,1.367733082815777
20.723272936562076,9.4659122582851,1.3571646673369655
22.520831329328942,9.4659122582851,1.3491108173700939
24.3183897220958,9.4659122582851,1.3435025701482914
26.115948114862668,9.4659122582851,1.3361414144852088
27.913506507629528,9.4659122582851,1.3283553274410866
29.711064900396394,9.4659122582851,1.321991998858584
31.508623293163257,9.4659122582851,1.3174671573079
33.30618168593012,9.4659122582851,1.310921553566749
35.10374007869699,9.4659122582851,1.3056303045484663
36.901298471463846,9.4659122582851,1.3017365977286908
38.698856864230706,9.4659122582851,1.2967674407265006
40.49641525699757,9.4659122582851,1.2932528113003365
42.29397364976444,9.4659122582851,1.2885390643992296
44.0915320425313,9.4659122582851,1.2836566796737485
0.950130616126582,10.003526566342451,1.8725999165982457
2.7476890088934454,10.003526566342451,1.7209520277431258
4.545247401660308,10.003526566342451,1.616470441123245
6.342805794427172,10.003526566342451,1.5314859241912377
8.140364187194036,10.003526566342451,1.4880500833945256
9.9379225799609,10.003526566342451,1.4538150570491546
11.735480972727762,10.003526566342451,1.4330982727674904
13.533039365494625,10.003526566342451,1.4096376819160408
15.330597758261488,10.003526566342451,1.3939713355433703
17.12815615102835,10.003526566342451,1.3801490536003298
18.925714543795216,10.003526566342451,1.3675786195935817
20.723272936562076,10.003526566342451,1.3608026699283293
22.520831329328942,10.003526566342451,1.3503152872500455
24.3183897220958,10.003526566342451,1.3431387294439687
26.115948114862668,10.003526566342451,1.337286657276047
27.913506507629528,10.003526566342451,1.3310150464698383
29.711064900396394,10.003526566342451,1.3243279567108004
31.508623293163257,10.003526566342451,1.3186314172539426
33.30618168593012,10.003526566342451,1.3126684571004
35.10374007869699,10.003526566342451,1.3086448198673446
36.901298471463846,10.003526566342451,1.303982362345646
38.698856864230706,10.003526566342451,1.2995928705104824
40.49641525699757,10.003526566342451,1.2956232093374396
42.29397364976444,10.003526566342451,1.2923351292122431
44.0915320425313,10.003526566342451,1.2877060129824867
0.950130616126582,10.541140874399805,1.87055278321326
2.7476890088934454,10.541140874399805,1.710808424247637
4.545247401660308,10.541140874399805,1.6118415692787165
6.342805794427172,10.541140874399805,1.533797114291239
